smooth_episode_index,smooth_frame_index,smooth_index,trimmed_episode_index,trimmed_frame_index,trimmed_index,raw_episode_id
0,0,0,0,0,0,episode_20260610T115558Z_000000
0,1,1,0,1,1,episode_20260610T115558Z_000000
0,2,2,0,2,2,episode_20260610T115558Z_000000
0,3,3,0,3,3,episode_20260610T115558Z_000000
0,4,4,0,4,4,episode_20260610T115558Z_000000
0,5,5,0,5,5,episode_20260610T115558Z_000000
0,6,6,0,6,6,episode_20260610T115558Z_000000
0,7,7,0,7,7,episode_20260610T115558Z_000000
0,8,8,0,8,8,episode_20260610T115558Z_000000
0,9,9,0,9,9,episode_20260610T115558Z_000000
0,10,10,0,10,10,episode_20260610T115558Z_000000
0,11,11,0,11,11,episode_20260610T115558Z_000000
0,12,12,0,12,12,episode_20260610T115558Z_000000
0,13,13,0,13,13,episode_20260610T115558Z_000000
0,14,14,0,14,14,episode_20260610T115558Z_000000
0,15,15,0,15,15,episode_20260610T115558Z_000000
0,16,16,0,16,16,episode_20260610T115558Z_000000
0,17,17,0,17,17,episode_20260610T115558Z_000000
0,18,18,0,18,18,episode_20260610T115558Z_000000
0,19,19,0,19,19,episode_20260610T115558Z_000000
0,20,20,0,20,20,episode_20260610T115558Z_000000
0,21,21,0,21,21,episode_20260610T115558Z_000000
0,22,22,0,22,22,episode_20260610T115558Z_000000
0,23,23,0,23,23,episode_20260610T115558Z_000000
0,24,24,0,24,24,episode_20260610T115558Z_000000
0,25,25,0,25,25,episode_20260610T115558Z_000000
0,26,26,0,26,26,episode_20260610T115558Z_000000
0,27,27,0,27,27,episode_20260610T115558Z_000000
0,28,28,0,28,28,episode_20260610T115558Z_000000
0,29,29,0,29,29,episode_20260610T115558Z_000000
0,30,30,0,30,30,episode_20260610T115558Z_000000
0,31,31,0,31,31,episode_20260610T115558Z_000000
0,32,32,0,32,32,episode_20260610T115558Z_000000
0,33,33,0,33,33,episode_20260610T115558Z_000000
0,34,34,0,34,34,episode_20260610T115558Z_000000
0,35,35,0,35,35,episode_20260610T115558Z_000000
0,36,36,0,36,36,episode_20260610T115558Z_000000
0,37,37,0,37,37,episode_20260610T115558Z_000000
0,38,38,0,38,38,episode_20260610T115558Z_000000
0,39,39,0,39,39,episode_20260610T115558Z_000000
0,40,40,0,40,40,episode_20260610T115558Z_000000
0,41,41,0,41,41,episode_20260610T115558Z_000000
0,42,42,0,42,42,episode_20260610T115558Z_000000
0,43,43,0,43,43,episode_20260610T115558Z_000000
0,44,44,0,44,44,episode_20260610T115558Z_000000
0,45,45,0,45,45,episode_20260610T115558Z_000000
0,46,46,0,46,46,episode_20260610T115558Z_000000
0,47,47,0,47,47,episode_20260610T115558Z_000000
0,48,48,0,48,48,episode_20260610T115558Z_000000
0,49,49,0,49,49,episode_20260610T115558Z_000000
0,50,50,0,50,50,episode_20260610T115558Z_000000
0,51,51,0,51,51,episode_20260610T115558Z_000000
0,52,52,0,52,52,episode_20260610T115558Z_000000
0,53,53,0,53,53,episode_20260610T115558Z_000000
0,54,54,0,54,54,episode_20260610T115558Z_000000
0,55,55,0,55,55,episode_20260610T115558Z_000000
0,56,56,0,56,56,episode_20260610T115558Z_000000
0,57,57,0,57,57,episode_20260610T115558Z_000000
0,58,58,0,58,58,episode_20260610T115558Z_000000
0,59,59,0,59,59,episode_20260610T115558Z_000000
0,60,60,0,60,60,episode_20260610T115558Z_000000
0,61,61,0,61,61,episode_20260610T115558Z_000000
0,62,62,0,62,62,episode_20260610T115558Z_000000
0,63,63,0,63,63,episode_20260610T115558Z_000000
0,64,64,0,64,64,episode_20260610T115558Z_000000
0,65,65,0,65,65,episode_20260610T115558Z_000000
0,66,66,0,66,66,episode_20260610T115558Z_000000
0,67,67,0,67,67,episode_20260610T115558Z_000000
0,68,68,0,68,68,episode_20260610T115558Z_000000
0,69,69,0,69,69,episode_20260610T115558Z_000000
0,70,70,0,70,70,episode_20260610T115558Z_000000
0,71,71,0,71,71,episode_20260610T115558Z_000000
0,72,72,0,72,72,episode_20260610T115558Z_000000
0,73,73,0,73,73,episode_20260610T115558Z_000000
0,74,74,0,74,74,episode_20260610T115558Z_000000
0,75,75,0,75,75,episode_20260610T115558Z_000000
0,76,76,0,76,76,episode_20260610T115558Z_000000
0,77,77,0,77,77,episode_20260610T115558Z_000000
0,78,78,0,78,78,episode_20260610T115558Z_000000
0,79,79,0,79,79,episode_20260610T115558Z_000000
0,80,80,0,80,80,episode_20260610T115558Z_000000
0,81,81,0,81,81,episode_20260610T115558Z_000000
0,82,82,0,82,82,episode_20260610T115558Z_000000
0,83,83,0,83,83,episode_20260610T115558Z_000000
0,84,84,0,84,84,episode_20260610T115558Z_000000
0,85,85,0,85,85,episode_20260610T115558Z_000000
